date,XLV.US
2019-01-29,77.7118
2019-01-30,78.7762
2019-01-31,79.7615
2019-02-01,79.8319
2019-02-04,79.6032
2019-02-05,79.4888
2019-02-06,79.8495
2019-02-07,78.9698
2019-02-08,79.1193
2019-02-11,79.0226
2019-02-12,80.1046
2019-02-13,80.2805
2019-02-14,80.4652
2019-02-15,81.6792
2019-02-19,81.4857
2019-02-20,81.3889
2019-02-21,80.6764
2019-02-22,81.4153
2019-02-25,81.5297
2019-02-26,81.2394
2019-02-27,80.8611
2019-02-28,80.6236
2019-03-01,81.7672
2019-03-04,80.6588
2019-03-05,80.6148
2019-03-06,79.4360
2019-03-07,78.8114
2019-03-08,78.6443
2019-03-11,79.5416
2019-03-12,80.1222
2019-03-13,80.9843
2019-03-14,80.8523
2019-03-15,81.2240
2019-03-18,81.1004
2019-03-19,81.7450
2019-03-20,81.1799
2019-03-21,81.4978
2019-03-22,80.0144
2019-03-25,79.9702
2019-03-26,80.5177
2019-03-27,79.8466
2019-03-28,80.0497
2019-03-29,81.0121
2019-04-01,81.1357
2019-04-02,80.9503
2019-04-03,80.8444
2019-04-04,80.6766
2019-04-05,81.2329
2019-04-08,81.2152
2019-04-09,81.0033
2019-04-10,81.0298
2019-04-11,80.0320
2019-04-12,79.2992
2019-04-15,79.6170
2019-04-16,77.9836
2019-04-17,75.7408
2019-04-18,75.8644
2019-04-22,75.9086
2019-04-23,77.1094
2019-04-24,77.0211
2019-04-25,77.8158
2019-04-26,78.5928
2019-04-29,78.4515
2019-04-30,78.8135
2019-05-01,78.6723
2019-05-02,79.0078
2019-05-03,79.6082
2019-05-06,80.0144
2019-05-07,78.4780
2019-05-08,78.6458
2019-05-09,78.4780
2019-05-10,78.5045
2019-05-13,77.0300
2019-05-14,77.4185
2019-05-15,77.6480
2019-05-16,78.2573
2019-05-17,78.0895
2019-05-20,78.0542
2019-05-21,78.7871
2019-05-22,79.2374
2019-05-23,78.9636
2019-05-24,79.0784
2019-05-28,77.9482
2019-05-29,77.1977
2019-05-30,77.6215
2019-05-31,77.0653
2019-06-03,77.2507
2019-06-04,78.5310
2019-06-05,79.1226
2019-06-06,79.5287
2019-06-07,80.3587
2019-06-10,80.5971
2019-06-11,80.4647
2019-06-12,80.8532
2019-06-13,80.7561
2019-06-14,80.5706
2019-06-17,80.9327
2019-06-18,81.6214
2019-06-19,82.3542
2019-06-20,82.7163
2019-06-21,83.1135
2019-06-24,82.6790
2019-06-25,82.3421
2019-06-26,81.3046
2019-06-27,81.8721
2019-06-28,82.1470
2019-07-01,82.5549
2019-07-02,82.9982
2019-07-03,83.7076
2019-07-05,83.1312
2019-07-08,82.5105
2019-07-09,82.5903
2019-07-10,82.8741
2019-07-11,82.8918
2019-07-12,81.9696
2019-07-15,82.1470
2019-07-16,81.7391
2019-07-17,81.7568
2019-07-18,82.2179
2019-07-19,81.3666
2019-07-22,81.1982
2019-07-23,81.7036
2019-07-24,81.7479
2019-07-25,81.3489
2019-07-26,81.6415
2019-07-29,81.9785
2019-07-30,81.6238
2019-07-31,80.8169
2019-08-01,80.9233
2019-08-02,80.7371
2019-08-05,78.8395
2019-08-06,79.8592
2019-08-07,79.8858
2019-08-08,80.9499
2019-08-09,81.0474
2019-08-12,80.2582
2019-08-13,81.3046
2019-08-14,79.0434
2019-08-15,79.3183
2019-08-16,80.2937
2019-08-19,81.0652
2019-08-20,80.3735
2019-08-21,80.9676
2019-08-22,80.5686
2019-08-23,78.7064
2019-08-26,79.5311
2019-08-27,79.0611
2019-08-28,79.6375
2019-08-29,80.2405
2019-08-30,80.3380
2019-09-03,79.8681
2019-09-04,79.9213
2019-09-05,80.7105
2019-09-06,80.9321
2019-09-09,80.1873
2019-09-10,80.4178
2019-09-11,81.2159
2019-09-12,81.1893
2019-09-13,81.1450
2019-09-16,80.9676
2019-09-17,81.0918
2019-09-18,81.0829
2019-09-19,81.4642
2019-09-20,81.9183
2019-09-23,81.4820
2019-09-24,80.7340
2019-09-25,80.3423
2019-09-26,79.8971
2019-09-27,79.5409
2019-09-30,80.2532
2019-10-01,79.4697
2019-10-02,78.3121
2019-10-03,79.0155
2019-10-04,80.2532
2019-10-07,79.9861
2019-10-08,78.4635
2019-10-09,79.0333
2019-10-10,79.4251
2019-10-11,80.0840
2019-10-14,80.0484
2019-10-15,81.5087
2019-10-16,81.4019
2019-10-17,82.0073
2019-10-18,81.7046
2019-10-21,81.6156
2019-10-22,81.7936
2019-10-23,82.3012
2019-10-24,81.8827
2019-10-25,81.9717
2019-10-28,82.8176
2019-10-29,83.9930
2019-10-30,84.4649
2019-10-31,84.3669
2019-11-01,84.4738
2019-11-04,84.2156
2019-11-05,83.6190
2019-11-06,83.9039
2019-11-07,84.0909
2019-11-08,84.7053
2019-11-11,84.3580
2019-11-12,84.8656
2019-11-13,84.9635
2019-11-14,84.9724
2019-11-15,86.7800
