date,XLY.US
2018-06-27,50.1831
2018-06-28,50.5771
2018-06-29,50.6652
2018-07-02,50.7347
2018-07-03,50.4798
2018-07-05,50.7301
2018-07-06,51.1287
2018-07-09,51.7406
2018-07-10,51.8519
2018-07-11,51.7313
2018-07-12,52.0744
2018-07-13,52.1902
2018-07-16,52.3200
2018-07-17,52.3710
2018-07-18,52.3386
2018-07-19,52.2181
2018-07-20,51.9863
2018-07-23,51.9307
2018-07-24,51.7777
2018-07-25,52.1578
2018-07-26,51.8843
2018-07-27,51.7499
2018-07-30,51.3373
2018-07-31,51.5784
2018-08-01,51.3234
2018-08-02,51.6757
2018-08-03,51.8519
2018-08-06,52.1995
2018-08-07,52.4406
2018-08-08,52.4962
2018-08-09,52.6909
2018-08-10,52.2505
2018-08-13,51.9863
2018-08-14,52.4915
2018-08-15,51.8519
2018-08-16,52.1068
2018-08-17,52.1532
2018-08-20,52.5240
2018-08-21,52.9412
2018-08-22,52.9968
2018-08-23,52.9458
2018-08-24,53.2564
2018-08-27,53.5994
2018-08-28,53.7060
2018-08-29,54.3086
2018-08-30,53.9981
2018-08-31,54.2113
2018-09-04,54.3133
2018-09-05,53.7292
2018-09-06,53.5809
2018-09-07,53.5762
2018-09-10,53.7756
2018-09-11,54.2067
2018-09-12,54.3086
2018-09-13,54.4013
2018-09-14,54.1974
2018-09-17,53.5252
2018-09-18,54.2067
2018-09-19,54.2298
2018-09-20,54.6007
2018-09-21,54.3594
2018-09-24,54.0060
2018-09-25,54.2338
2018-09-26,54.3594
2018-09-27,54.5453
2018-09-28,54.4988
2018-10-01,54.3315
2018-10-02,53.5969
2018-10-03,53.4156
2018-10-04,52.5787
2018-10-05,52.1835
2018-10-08,52.3183
2018-10-09,52.1649
2018-10-10,50.4075
2018-10-11,49.5195
2018-10-12,50.4354
2018-10-15,50.3191
2018-10-16,51.3280
2018-10-17,50.9050
2018-10-18,49.9286
2018-10-19,49.4404
2018-10-22,49.6403
2018-10-23,49.6496
2018-10-24,48.1665
2018-10-25,49.6218
2018-10-26,48.0782
2018-10-29,47.6551
2018-10-30,48.3711
2018-10-31,48.9941
2018-11-01,49.9937
2018-11-02,50.1983
2018-11-05,50.2680
2018-11-06,50.4912
2018-11-07,51.8581
2018-11-08,51.8720
2018-11-09,51.1514
2018-11-12,50.1239
2018-11-13,50.1006
2018-11-14,49.7240
2018-11-15,49.6496
2018-11-16,49.4544
2018-11-19,48.2456
2018-11-20,47.1530
