date,XLP.US
2018-09-25,43.7480
2018-09-26,43.7968
2018-09-27,43.7399
2018-09-28,43.8049
2018-10-01,43.7724
2018-10-02,44.0242
2018-10-03,43.5531
2018-10-04,43.4475
2018-10-05,43.4069
2018-10-08,44.0080
2018-10-09,43.9105
2018-10-10,43.3825
2018-10-11,42.3104
2018-10-12,42.5459
2018-10-15,42.8058
2018-10-16,43.2851
2018-10-17,43.4881
2018-10-18,43.4313
2018-10-19,44.4222
2018-10-22,44.0892
2018-10-23,44.2841
2018-10-24,44.4710
2018-10-25,44.5765
2018-10-26,43.7237
2018-10-29,44.2273
2018-10-30,45.1045
2018-10-31,44.6821
2018-11-01,44.9989
2018-11-02,44.7634
2018-11-05,45.3238
2018-11-06,45.6000
2018-11-07,45.8599
2018-11-08,45.8843
2018-11-09,46.1523
2018-11-12,45.9086
2018-11-13,45.8031
2018-11-14,45.4944
2018-11-15,45.4213
2018-11-16,45.5350
2018-11-19,45.4619
2018-11-20,44.7065
2018-11-21,44.3491
2018-11-23,44.5034
2018-11-26,44.5603
2018-11-27,44.9583
2018-11-28,45.3319
2018-11-29,45.4050
2018-11-30,45.6975
2018-12-03,45.7381
2018-12-04,44.9664
2018-12-06,45.0152
2018-12-07,44.4466
2018-12-10,44.4466
2018-12-11,44.8121
2018-12-12,44.7552
2018-12-13,45.0314
2018-12-14,44.2679
2018-12-17,43.2444
2018-12-18,42.7327
2018-12-19,42.3185
2018-12-20,41.5631
2018-12-21,41.1319
2018-12-24,39.9434
2018-12-26,41.0582
2018-12-27,41.4516
2018-12-28,41.4516
2018-12-31,41.6237
2019-01-02,41.3778
2019-01-03,41.1401
2019-01-04,42.0172
2019-01-07,41.9598
2019-01-08,42.3451
2019-01-09,41.9516
2019-01-10,42.1975
2019-01-11,42.3205
2019-01-14,42.1156
2019-01-15,42.5336
2019-01-16,42.3041
2019-01-17,42.4844
2019-01-18,42.9926
2019-01-22,42.5992
2019-01-23,43.1074
2019-01-24,42.5746
2019-01-25,42.4024
2019-01-28,42.5828
2019-01-29,42.6811
2019-01-30,42.9680
2019-01-31,43.7631
2019-02-01,43.6238
2019-02-04,43.9025
2019-02-05,43.9107
2019-02-06,43.9189
