date,XLRE.US
2019-04-04,28.4422
2019-04-05,28.6618
2019-04-08,28.5207
2019-04-09,28.4344
2019-04-10,28.6618
2019-04-11,28.6226
2019-04-12,28.7794
2019-04-15,28.6069
2019-04-16,27.9325
2019-04-17,27.6424
2019-04-18,27.8619
2019-04-22,27.5561
2019-04-23,27.8698
2019-04-24,28.0658
2019-04-25,28.0345
2019-04-26,28.2227
2019-04-29,27.9325
2019-04-30,28.2540
2019-05-01,28.2540
2019-05-02,28.3089
2019-05-03,28.5050
2019-05-06,28.3873
2019-05-07,27.9012
2019-05-08,27.9012
2019-05-09,27.9953
2019-05-10,28.3168
2019-05-13,28.3168
2019-05-14,28.4187
2019-05-15,28.6069
2019-05-16,28.7716
2019-05-17,28.7324
2019-05-20,28.2697
2019-05-21,28.5050
2019-05-22,28.6383
2019-05-23,28.7794
2019-05-24,28.8186
2019-05-28,28.5207
2019-05-29,28.1913
2019-05-30,28.3638
2019-05-31,28.5991
2019-06-03,28.7089
2019-06-04,28.5520
2019-06-05,29.2029
2019-06-06,29.2578
2019-06-07,29.3519
2019-06-10,29.2499
2019-06-11,29.3048
2019-06-12,29.4146
2019-06-13,29.4538
2019-06-14,29.5793
2019-06-17,29.9008
2019-06-18,29.8146
2019-06-19,30.0106
2019-06-20,30.1910
2019-06-21,29.8533
2019-06-24,29.7031
2019-06-25,29.3000
2019-06-26,28.7309
2019-06-27,28.9680
2019-06-28,29.0629
2019-07-01,29.0076
2019-07-02,29.5450
2019-07-03,29.9719
2019-07-05,29.8059
2019-07-08,29.9165
2019-07-09,30.0746
2019-07-10,30.2406
2019-07-11,29.8533
2019-07-12,29.7347
2019-07-15,29.7743
2019-07-16,29.7268
2019-07-17,29.5767
2019-07-18,29.5688
2019-07-19,29.0866
2019-07-22,29.0550
2019-07-23,29.3395
2019-07-24,29.3158
2019-07-25,29.1894
2019-07-26,29.2842
2019-07-29,29.3949
2019-07-30,29.6873
2019-07-31,29.5688
2019-08-01,29.6399
2019-08-02,29.8691
2019-08-05,29.3000
2019-08-06,29.6636
2019-08-07,29.9402
2019-08-08,30.4145
2019-08-09,30.4066
2019-08-12,30.3829
2019-08-13,30.3987
2019-08-14,29.9244
2019-08-15,30.3433
2019-08-16,30.5567
2019-08-19,30.8334
2019-08-20,30.6042
2019-08-21,30.7306
2019-08-22,30.8808
2019-08-23,30.4935
2019-08-26,30.7781
2019-08-27,30.6753
2019-08-28,30.7622
2019-08-29,30.9836
2019-08-30,30.9915
2019-09-03,31.4341
2019-09-04,31.6949
2019-09-05,31.4183
2019-09-06,31.4578
2019-09-09,31.2207
2019-09-10,30.7622
2019-09-11,30.6911
2019-09-12,30.8729
2019-09-13,30.5014
2019-09-16,30.8176
2019-09-17,31.2523
2019-09-18,31.1574
2019-09-19,31.2602
2019-09-20,31.1275
2019-09-23,31.2389
2019-09-24,31.1991
2019-09-25,31.1673
2019-09-26,31.4696
2019-09-27,31.2628
2019-09-30,31.3025
2019-10-01,31.0320
2019-10-02,30.8410
2019-10-03,31.2071
2019-10-04,31.3503
2019-10-07,31.2946
2019-10-08,31.1434
2019-10-09,31.2389
2019-10-10,31.3185
2019-10-11,31.2150
2019-10-14,31.2628
2019-10-15,31.2866
2019-10-16,31.2468
2019-10-17,31.4537
2019-10-18,31.7561
2019-10-21,31.9709
2019-10-22,31.8754
2019-10-23,31.9311
2019-10-24,31.8118
2019-10-25,31.4219
2019-10-28,31.0877
2019-10-29,31.1673
2019-10-30,31.3980
2019-10-31,31.2946
2019-11-01,31.2150
2019-11-04,30.8649
2019-11-05,30.3318
2019-11-06,30.4432
2019-11-07,30.1170
2019-11-08,30.0613
2019-11-11,30.1170
2019-11-12,29.9180
2019-11-13,30.2204
2019-11-14,30.5228
2019-11-15,30.6739
2019-11-18,30.8410
2019-11-19,30.9047
2019-11-20,30.9206
2019-11-21,30.5069
2019-11-22,30.3318
2019-11-25,30.3557
2019-11-26,30.7774
2019-11-27,30.8729
2019-11-29,30.7535
2019-12-02,30.1886
2019-12-03,30.4352
2019-12-04,30.5944
2019-12-05,30.6421
2019-12-06,30.6501
2019-12-09,30.6899
2019-12-10,30.4750
2019-12-11,30.2443
2019-12-12,29.8783
2019-12-13,29.9101
2019-12-16,30.1408
2019-12-17,29.8146
2019-12-18,30.2363
2019-12-19,30.5228
2019-12-20,30.7586
2019-12-23,30.5736
2019-12-24,30.6138
2019-12-26,30.7988
2019-12-27,30.9115
2019-12-30,30.8873
2019-12-31,31.1045
2020-01-02,30.7425
2020-01-03,30.9678
2020-01-06,30.9758
2020-01-07,30.6380
2020-01-08,30.7908
2020-01-09,30.7828
2020-01-10,31.0804
2020-01-13,31.4584
2020-01-14,31.3056
2020-01-15,31.5228
2020-01-16,31.8043
2020-01-17,31.8445
2020-01-21,32.1663
2020-01-22,31.9089
2020-01-23,32.2145
2020-01-24,32.1663
2020-01-27,32.0295
2020-01-28,32.1100
2020-01-29,31.9410
2020-01-30,32.0134
2020-01-31,31.5549
2020-02-03,31.5871
2020-02-04,31.9973
2020-02-05,31.9732
2020-02-06,32.1100
2020-02-07,32.1260
2020-02-10,32.4960
2020-02-11,32.8902
2020-02-12,33.0993
2020-02-13,33.3004
2020-02-14,33.6865
2020-02-18,33.6543
2020-02-19,33.1797
2020-02-20,33.5498
2020-02-21,33.7267
2020-02-24,33.2763
2020-02-25,32.4397
2020-02-26,32.1582
2020-02-27,30.3404
2020-02-28,29.5923
2020-03-02,31.0643
2020-03-03,31.0402
2020-03-04,32.2467
2020-03-05,31.5067
2020-03-06,30.9678
2020-03-09,28.7799
2020-03-10,30.1795
2020-03-11,28.5627
2020-03-12,26.1094
2020-03-13,28.4019
2020-03-16,23.8572
2020-03-17,25.3051
2020-03-18,23.5275
2020-03-19,23.1575
2020-03-20,21.8463
2020-03-23,20.6323
2020-03-24,22.4313
2020-03-25,23.4281
2020-03-26,25.2271
2020-03-27,25.2920
2020-03-30,25.9484
2020-03-31,25.1218
2020-04-01,23.5983
2020-04-02,23.9467
2020-04-03,23.7441
2020-04-06,25.4621
2020-04-07,25.4702
2020-04-08,27.3827
2020-04-09,28.7928
2020-04-13,27.4719
2020-04-14,28.3876
2020-04-15,27.2936
2020-04-16,27.1153
2020-04-17,27.9905
2020-04-20,26.9532
2020-04-21,26.5561
2020-04-22,27.0181
2020-04-23,26.7101
2020-04-24,26.8074
2020-04-27,27.5853
2020-04-28,27.6096
2020-04-29,27.6826
2020-04-30,27.4881
2020-05-01,26.6453
2020-05-04,26.6291
2020-05-05,26.7993
2020-05-06,26.3049
2020-05-07,26.5399
2020-05-08,27.0262
2020-05-11,26.7020
2020-05-12,25.5675
2020-05-13,25.1623
2020-05-14,25.1947
2020-05-15,25.1056
2020-05-18,26.3292
2020-05-19,25.8187
2020-05-20,26.0618
2020-05-21,25.9322
2020-05-22,26.4994
2020-05-26,27.3422
2020-05-27,27.9257
2020-05-28,28.2417
2020-05-29,28.0797
2020-06-01,28.6388
2020-06-02,28.8252
2020-06-03,29.5140
2020-06-04,28.9630
2020-06-05,30.0246
2020-06-08,30.6810
2020-06-09,30.3244
2020-06-10,29.7571
2020-06-11,27.9176
2020-06-12,28.8009
2020-06-15,29.1656
2020-06-16,29.6518
2020-06-17,29.3033
2020-06-18,28.9387
2020-06-19,28.6469
2020-06-22,28.5656
2020-06-23,28.4595
2020-06-24,27.7327
2020-06-25,28.0267
2020-06-26,27.5448
2020-06-29,28.0185
2020-06-30,28.4268
