date,XLC.US
2020-08-04,55.2082
2020-08-05,55.1234
2020-08-06,56.5755
2020-08-07,56.5095
2020-08-10,56.3209
2020-08-11,55.4817
2020-08-12,56.1417
2020-08-13,56.4246
2020-08-14,56.4152
2020-08-17,56.4812
2020-08-18,56.9904
2020-08-19,56.8301
2020-08-20,57.5373
2020-08-21,57.2827
2020-08-24,57.9804
2020-08-25,58.5273
2020-08-26,60.5263
2020-08-27,59.7909
2020-08-28,59.9323
2020-08-31,59.6494
2020-09-01,60.1397
2020-09-02,61.4221
2020-09-03,59.3383
2020-09-04,58.2539
2020-09-08,56.7169
2020-09-09,57.3958
2020-09-10,56.5472
2020-09-11,56.3680
2020-09-14,56.5849
2020-09-15,57.5938
2020-09-16,56.9715
2020-09-17,55.9249
2020-09-18,55.3874
2020-09-21,54.7392
2020-09-22,55.7975
2020-09-23,54.4652
2020-09-24,54.5691
2020-09-25,55.2967
2020-09-28,56.0337
2020-09-29,56.0904
2020-09-30,56.1282
2020-10-01,56.9314
2020-10-02,55.8069
2020-10-05,56.7235
2020-10-06,55.5329
2020-10-07,55.9392
2020-10-08,56.6668
2020-10-09,57.0070
2020-10-12,58.5094
2020-10-13,58.5661
2020-10-14,57.8669
2020-10-15,57.4228
2020-10-16,57.4322
2020-10-19,56.4022
2020-10-20,56.8086
2020-10-21,57.7629
2020-10-22,58.1409
2020-10-23,58.6889
2020-10-26,57.4039
2020-10-27,57.7724
2020-10-28,55.5046
2020-10-29,56.9030
2020-10-30,55.9392
2020-11-02,55.9109
2020-11-03,56.7424
2020-11-04,59.1898
2020-11-05,60.3331
2020-11-06,60.1914
2020-11-09,59.6811
2020-11-10,59.4921
2020-11-11,60.0307
2020-11-12,59.6906
2020-11-13,60.5788
2020-11-16,60.9662
2020-11-17,60.7489
2020-11-18,60.1347
2020-11-19,60.5032
2020-11-20,60.3615
2020-11-23,60.3898
2020-11-24,61.6276
2020-11-25,61.6182
2020-11-27,62.0151
2020-11-30,61.7977
2020-12-01,62.9316
2020-12-02,63.5175
2020-12-03,63.2340
2020-12-04,63.2907
2020-12-07,63.6876
2020-12-08,63.5931
2020-12-09,62.8371
2020-12-10,62.8749
2020-12-11,63.2529
2020-12-14,63.0545
2020-12-15,63.5742
2020-12-16,63.5175
2020-12-17,63.3568
2020-12-18,63.4135
2020-12-21,62.8712
2020-12-22,62.2845
2020-12-23,62.6441
2020-12-24,62.7103
2020-12-28,63.8366
2020-12-29,63.7798
2020-12-30,63.3539
2020-12-31,63.8650
2021-01-04,62.9186
2021-01-05,63.1457
2021-01-06,62.8428
2021-01-07,63.6757
2021-01-08,63.8745
2021-01-11,62.7387
2021-01-12,61.7261
2021-01-13,61.9437
2021-01-14,61.5936
2021-01-15,61.7923
2021-01-19,62.9091
2021-01-20,64.8871
2021-01-21,65.1237
2021-01-22,65.1521
2021-01-25,65.5307
2021-01-26,66.4203
2021-01-27,64.2720
2021-01-28,64.4991
2021-01-29,63.2971
2021-02-01,64.4802
2021-02-02,65.4645
2021-02-03,66.3446
2021-02-04,66.7421
2021-02-05,67.5845
2021-02-08,67.8495
2021-02-09,68.0766
2021-02-10,68.7202
2021-02-11,68.7959
2021-02-12,69.0893
2021-02-16,69.4205
2021-02-17,69.6193
2021-02-18,69.2786
2021-02-19,68.5971
2021-02-22,68.3227
2021-02-23,68.8527
2021-02-24,68.9757
2021-02-25,67.4709
2021-02-26,67.7359
2021-03-01,69.4678
2021-03-02,68.9568
2021-03-03,67.9725
2021-03-04,67.8495
2021-03-05,69.4395
2021-03-08,68.5120
2021-03-09,69.2786
