date,XLK.US
2018-08-13,33.8380
2018-08-14,34.0468
2018-08-15,33.7406
2018-08-16,33.8890
2018-08-17,33.9401
2018-08-20,33.8890
2018-08-21,33.9447
2018-08-22,34.0468
2018-08-23,34.1210
2018-08-24,34.4644
2018-08-27,34.7799
2018-08-28,34.8402
2018-08-29,35.1557
2018-08-30,35.0490
2018-08-31,35.0768
2018-09-04,34.9423
2018-09-05,34.5061
2018-09-06,34.2556
2018-09-07,34.1396
2018-09-10,34.2463
2018-09-11,34.5386
2018-09-12,34.3948
2018-09-13,34.7984
2018-09-14,34.7706
2018-09-17,34.3345
2018-09-18,34.5525
2018-09-19,34.4644
2018-09-20,34.8727
2018-09-21,34.7349
2018-09-24,34.9071
2018-09-25,34.8652
2018-09-26,34.7349
2018-09-27,34.9397
2018-09-28,35.0701
2018-10-01,35.2377
2018-10-02,35.2423
2018-10-03,35.3494
2018-10-04,34.7116
2018-10-05,34.2740
2018-10-08,33.8876
2018-10-09,34.0086
2018-10-10,32.3606
2018-10-11,31.9509
2018-10-12,32.9751
2018-10-15,32.4350
2018-10-16,33.4127
2018-10-17,33.2591
2018-10-18,32.6073
2018-10-19,32.5933
2018-10-22,32.8634
2018-10-23,32.7377
2018-10-24,31.2712
2018-10-25,32.3466
2018-10-26,31.6995
2018-10-29,31.1641
2018-10-30,31.5133
2018-10-31,32.2628
2018-11-01,32.6399
2018-11-02,32.0021
2018-11-05,31.9695
2018-11-06,32.1697
2018-11-07,33.1148
2018-11-08,33.0868
2018-11-09,32.5142
2018-11-12,31.3689
2018-11-13,31.4062
2018-11-14,31.0291
2018-11-15,31.8066
2018-11-16,31.7553
2018-11-19,30.5449
2018-11-20,29.8885
2018-11-21,30.1073
2018-11-23,29.8326
2018-11-26,30.5077
2018-11-27,30.5682
2018-11-28,31.6390
2018-11-29,31.3317
2018-11-30,31.6296
2018-12-03,32.3280
2018-12-04,31.1036
2018-12-06,31.1734
2018-12-07,30.0747
2018-12-10,30.4890
2018-12-11,30.5263
2018-12-12,30.7637
2018-12-13,30.8149
2018-12-14,30.0607
2018-12-17,29.4229
2018-12-18,29.6557
2018-12-19,29.0691
2018-12-20,28.5477
2018-12-21,27.6803
2018-12-24,26.9416
2018-12-26,28.5687
2018-12-27,28.7745
2018-12-28,28.7090
2018-12-31,28.9802
2019-01-02,28.9989
2019-01-03,27.5354
2019-01-04,28.7558
