date,XLU.US
2020-01-28,28.0020
2020-01-29,28.0756
2020-01-30,28.3373
2020-01-31,28.2105
2020-02-03,28.3005
2020-02-04,28.0183
2020-02-05,28.1328
2020-02-06,28.1410
2020-02-07,28.0510
2020-02-10,28.1574
2020-02-11,28.2596
2020-02-12,28.2801
2020-02-13,28.5950
2020-02-14,28.7872
2020-02-18,29.0285
2020-02-19,28.7136
2020-02-20,28.8158
2020-02-21,28.7626
2020-02-24,28.4273
2020-02-25,27.8302
2020-02-26,27.5480
2020-02-27,26.3088
2020-02-28,25.4296
2020-03-02,26.9264
2020-03-03,26.5951
2020-03-04,28.1042
2020-03-05,27.6707
2020-03-06,27.4458
2020-03-09,25.9530
2020-03-10,26.1943
2020-03-11,24.8775
2020-03-12,22.3664
2020-03-13,23.5851
2020-03-16,20.9064
2020-03-17,23.5810
2020-03-18,22.5545
2020-03-19,21.2417
2020-03-20,19.5568
2020-03-23,18.5588
2020-03-24,20.5539
2020-03-25,21.0785
2020-03-26,22.8753
2020-03-27,22.9993
2020-03-30,23.8502
2020-03-31,22.8877
2020-04-01,21.5122
2020-04-02,22.1855
2020-04-03,21.3924
2020-04-06,23.0447
2020-04-07,22.7555
2020-04-08,23.9947
2020-04-09,25.1265
2020-04-13,24.3293
2020-04-14,25.0439
2020-04-15,24.2178
2020-04-16,24.2219
2020-04-17,25.0026
2020-04-20,24.0567
2020-04-21,23.6602
2020-04-22,24.3500
2020-04-23,23.9410
2020-04-24,24.0897
2020-04-27,24.3417
2020-04-28,24.4326
2020-04-29,24.2095
2020-04-30,23.6519
2020-05-01,23.0819
2020-05-04,23.2554
2020-05-05,23.4454
2020-05-06,22.6482
2020-05-07,22.7390
2020-05-08,23.1975
2020-05-11,23.0984
2020-05-12,22.8960
2020-05-13,22.7018
2020-05-14,22.9456
2020-05-15,22.6399
2020-05-18,23.5693
2020-05-19,23.1810
2020-05-20,23.3090
2020-05-21,23.0736
2020-05-22,23.3297
2020-05-26,23.4825
2020-05-27,23.7634
2020-05-28,24.4656
2020-05-29,24.6556
2020-06-01,24.9489
2020-06-02,25.1100
2020-06-03,25.4115
2020-06-04,24.9572
2020-06-05,25.2752
2020-06-08,25.9526
2020-06-09,25.4322
2020-06-10,25.2835
2020-06-11,24.2963
2020-06-12,24.2343
2020-06-15,24.3995
2020-06-16,24.5111
2020-06-17,24.4367
2020-06-18,24.4326
2020-06-19,23.7469
2020-06-22,23.9785
2020-06-23,23.7369
2020-06-24,23.5203
2020-06-25,23.2288
2020-06-26,22.9830
2020-06-29,23.4162
2020-06-30,23.5037
2020-07-01,24.0534
2020-07-02,24.1159
2020-07-06,23.8202
2020-07-07,23.7244
2020-07-08,23.9368
2020-07-09,23.6161
2020-07-10,24.0618
2020-07-13,24.0868
2020-07-14,24.3117
2020-07-15,24.2159
2020-07-16,24.5241
2020-07-17,25.0781
2020-07-20,24.7490
2020-07-21,24.8615
2020-07-22,25.2447
2020-07-23,25.2738
2020-07-24,25.1072
2020-07-27,24.8032
2020-07-28,25.1780
2020-07-29,25.2946
2020-07-30,25.2946
2020-07-31,25.3363
2020-08-03,25.0614
2020-08-04,25.3363
2020-08-05,25.0114
2020-08-06,25.1572
2020-08-07,25.6112
2020-08-10,25.6029
2020-08-11,25.0489
2020-08-12,25.4113
2020-08-13,25.3696
2020-08-14,25.1489
2020-08-17,25.1155
2020-08-18,25.0031
2020-08-19,24.9281
2020-08-20,24.7074
2020-08-21,24.7490
2020-08-24,24.9656
2020-08-25,24.7282
2020-08-26,24.4533
2020-08-27,24.5324
2020-08-28,24.6032
2020-08-31,24.6782
2020-09-01,24.3950
2020-09-02,25.1530
2020-09-03,24.8698
2020-09-04,24.7282
2020-09-08,24.5907
2020-09-09,24.9156
2020-09-10,24.4866
2020-09-11,24.5449
2020-09-14,24.8823
2020-09-15,25.0489
2020-09-16,25.0156
2020-09-17,24.8115
2020-09-18,24.3742
2020-09-21,24.2225
2020-09-22,24.3737
2020-09-23,23.9999
2020-09-24,24.2687
2020-09-25,24.6678
2020-09-28,24.7308
2020-09-29,24.7224
2020-09-30,24.9451
2020-10-01,25.1971
2020-10-02,25.4954
2020-10-05,25.8147
2020-10-06,26.0331
2020-10-07,26.1927
2020-10-08,26.6716
2020-10-09,26.6674
2020-10-12,26.8355
2020-10-13,26.6506
2020-10-14,26.6170
2020-10-15,26.6002
2020-10-16,26.8859
2020-10-19,26.6590
2020-10-20,26.8187
2020-10-21,26.7473
2020-10-22,27.1253
2020-10-23,27.2010
2020-10-26,27.1926
2020-10-27,27.1716
