date,XLI.US
2018-08-29,67.9131
2018-08-30,67.4404
2018-08-31,67.4842
2018-09-04,67.4317
2018-09-05,67.9131
2018-09-06,68.1232
2018-09-07,67.9131
2018-09-10,68.2632
2018-09-11,68.2457
2018-09-12,68.4558
2018-09-13,68.8672
2018-09-14,69.2085
2018-09-17,69.2348
2018-09-18,69.8650
2018-09-19,69.8037
2018-09-20,69.9087
2018-09-21,70.3608
2018-09-24,69.1559
2018-09-25,68.9448
2018-09-26,68.9008
2018-09-27,68.9976
2018-09-28,68.9536
2018-10-01,69.5605
2018-10-02,69.7188
2018-10-03,70.0090
2018-10-04,69.7803
2018-10-05,69.4197
2018-10-08,69.5956
2018-10-09,68.5226
2018-10-10,66.3151
2018-10-11,64.5648
2018-10-12,64.9958
2018-10-15,65.1189
2018-10-16,66.2183
2018-10-17,65.7346
2018-10-18,64.6000
2018-10-19,64.3626
2018-10-22,64.1427
2018-10-23,63.0873
2018-10-24,60.9501
2018-10-25,61.3810
2018-10-26,60.7741
2018-10-29,59.7627
2018-10-30,60.9940
2018-10-31,61.4602
2018-11-01,62.5420
2018-11-02,62.4364
2018-11-05,62.7618
2018-11-06,63.4215
2018-11-07,64.4505
2018-11-08,64.3450
2018-11-09,63.6941
2018-11-12,62.4364
2018-11-13,62.7179
2018-11-14,62.5068
2018-11-15,63.3335
2018-11-16,63.3159
2018-11-19,62.3133
2018-11-20,61.0204
2018-11-21,61.4514
2018-11-23,61.3282
2018-11-26,61.7768
2018-11-27,61.6713
2018-11-28,63.1488
2018-11-29,63.1840
2018-11-30,63.7997
2018-12-03,64.5385
2018-12-04,61.7944
2018-12-06,61.4514
2018-12-07,59.8331
2018-12-10,59.9826
2018-12-11,59.6308
2018-12-12,59.9650
2018-12-13,59.7979
2018-12-14,58.9712
2018-12-17,58.0037
2018-12-18,58.2939
2018-12-19,57.1945
2018-12-20,56.1479
2018-12-21,55.0878
2018-12-24,53.3975
2018-12-26,55.8842
2018-12-27,56.5833
2018-12-28,56.4329
2018-12-31,56.9992
2019-01-02,57.2913
2019-01-03,55.5479
2019-01-04,57.6541
2019-01-07,58.1231
2019-01-08,58.9196
2019-01-09,59.3178
2019-01-10,60.1231
2019-01-11,60.0611
2019-01-14,60.0523
2019-01-15,59.8665
2019-01-16,59.9284
2019-01-17,60.9549
2019-01-18,62.1142
2019-01-22,60.8311
2019-01-23,60.9195
2019-01-24,61.2293
2019-01-25,62.0080
2019-01-28,61.4151
2019-01-29,62.2647
2019-01-30,63.2381
2019-01-31,63.5124
2019-02-01,63.6098
2019-02-04,64.4328
2019-02-05,64.9903
2019-02-06,65.0080
2019-02-07,64.5655
2019-02-08,64.6629
2019-02-11,65.0080
2019-02-12,66.0168
2019-02-13,66.4062
2019-02-14,66.0965
2019-02-15,66.9814
2019-02-19,66.9549
2019-02-20,67.2734
2019-02-21,66.9991
2019-02-22,67.4416
2019-02-25,67.7071
2019-02-26,67.5212
2019-02-27,67.7867
2019-02-28,67.5566
2019-03-01,67.6186
2019-03-04,67.3177
2019-03-05,66.8841
2019-03-06,66.2558
2019-03-07,65.8575
2019-03-08,65.7248
2019-03-11,66.2823
2019-03-12,65.7336
2019-03-13,66.3089
2019-03-14,66.0876
2019-03-15,65.8544
2019-03-18,66.4953
2019-03-19,66.2549
